/home/lfz/.conda/envs/champ/lib/python3.10/site-packages/albumentations/__init__.py:13: UserWarning: A new version of Albumentations is available: 1.4.16 (you have 1.4.14). Upgrade using: pip install -U albumentations. To disable automatic update checks, set the environment variable NO_ALBUMENTATIONS_UPDATE to 1.
  check_for_updates()
/home/lfz/workspace/Locate-and-Verify/train_cls.py:61: UserWarning: You have chosen to seed training. This will turn on the CUDNN deterministic setting, which can slow down your training considerably! You may see unexpected behavior when restarting from checkpoints.
  warnings.warn('You have chosen to seed training. '
/home/lfz/workspace/Locate-and-Verify/train_cls.py:68: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely disable data parallelism.')
/home/lfz/.conda/envs/champ/lib/python3.10/site-packages/pydantic/main.py:193: UserWarning: blur_limit and sigma_limit minimum value can not be both equal to 0. blur_limit minimum value changed to 3.
  self.__pydantic_validator__.validate_python(data, self_instance=self)
Use GPU: 0 for training
Creating model: LVNet
Using dropout 0.5
Using dropout 0.5
Total number of data: 34111 | real: 24831, fake: 9280
Total number of data: 20887 | real: 17815, fake: 3072
Epoch: [0][1320/2131]	Time  0.430 ( 0.440)	Data  0.006 ( 0.006)	Loss 0.00046 (0.00588)	Acc@1 100.00 ( 99.82)
Epoch: [0][1340/2131]	Time  0.432 ( 0.440)	Data  0.007 ( 0.006)	Loss 0.00035 (0.00580)	Acc@1 100.00 ( 99.82)
Epoch: [0][1360/2131]	Time  0.430 ( 0.440)	Data  0.005 ( 0.006)	Loss 0.00003 (0.00572)	Acc@1 100.00 ( 99.83)
Epoch: [0][1380/2131]	Time  0.431 ( 0.440)	Data  0.006 ( 0.006)	Loss 0.00008 (0.00564)	Acc@1 100.00 ( 99.83)
Epoch: [0][1400/2131]	Time  0.433 ( 0.440)	Data  0.009 ( 0.006)	Loss 0.00017 (0.00556)	Acc@1 100.00 ( 99.83)
Epoch: [0][1420/2131]	Time  0.435 ( 0.440)	Data  0.008 ( 0.006)	Loss 0.00011 (0.00548)	Acc@1 100.00 ( 99.83)
Epoch: [0][1440/2131]	Time  0.433 ( 0.439)	Data  0.006 ( 0.006)	Loss 0.00005 (0.00541)	Acc@1 100.00 ( 99.84)
Epoch: [0][1460/2131]	Time  0.434 ( 0.439)	Data  0.007 ( 0.006)	Loss 0.00015 (0.00534)	Acc@1 100.00 ( 99.84)
Epoch: [0][1480/2131]	Time  0.432 ( 0.439)	Data  0.007 ( 0.006)	Loss 0.00001 (0.00526)	Acc@1 100.00 ( 99.84)
Epoch: [0][1500/2131]	Time  0.432 ( 0.439)	Data  0.007 ( 0.006)	Loss 0.00002 (0.00519)	Acc@1 100.00 ( 99.84)
Epoch: [0][1520/2131]	Time  0.431 ( 0.439)	Data  0.005 ( 0.006)	Loss 0.00004 (0.00513)	Acc@1 100.00 ( 99.84)
Epoch: [0][1540/2131]	Time  0.434 ( 0.439)	Data  0.008 ( 0.006)	Loss 0.00001 (0.00506)	Acc@1 100.00 ( 99.85)
Epoch: [0][1560/2131]	Time  0.434 ( 0.439)	Data  0.008 ( 0.006)	Loss 0.00002 (0.00500)	Acc@1 100.00 ( 99.85)
Epoch: [0][1580/2131]	Time  0.432 ( 0.439)	Data  0.008 ( 0.006)	Loss 0.00004 (0.00493)	Acc@1 100.00 ( 99.85)
Epoch: [0][1600/2131]	Time  0.431 ( 0.439)	Data  0.006 ( 0.006)	Loss 0.00001 (0.00487)	Acc@1 100.00 ( 99.85)
Epoch: [0][1620/2131]	Time  0.432 ( 0.439)	Data  0.006 ( 0.006)	Loss 0.00005 (0.00481)	Acc@1 100.00 ( 99.85)
Epoch: [0][1640/2131]	Time  0.429 ( 0.439)	Data  0.005 ( 0.006)	Loss 0.00001 (0.00475)	Acc@1 100.00 ( 99.86)
Epoch: [0][1660/2131]	Time  0.430 ( 0.438)	Data  0.006 ( 0.006)	Loss 0.00002 (0.00470)	Acc@1 100.00 ( 99.86)
Epoch: [0][1680/2131]	Time  0.433 ( 0.438)	Data  0.006 ( 0.006)	Loss 0.00001 (0.00464)	Acc@1 100.00 ( 99.86)
Epoch: [0][1700/2131]	Time  0.433 ( 0.438)	Data  0.006 ( 0.006)	Loss 0.00001 (0.00459)	Acc@1 100.00 ( 99.86)
